Marca,Modelo,Año,Kilometraje,Transmision,Tipo de Vendedor,Región,Precio
chery,2,2018,"64,273 km",Manual,Automotora Usado,Bío Bío,8290000
chery,2,2020,"50,177 km",Manual,Automotora Usado,Metropolitana de Santiago,8490000
chery,2,2021,"12,500 km",Automática,Automotora Usado,Metropolitana de Santiago,10290000
chery,2,2022,"8,100 km",Manual,Automotora Usado,OHiggins,9990000
chery,2,2022,"4,000 km",Automática,Automotora Usado,Metropolitana de Santiago,10990000
chery,2,2021,"20,000 km",Manual,Automotora Usado,Metropolitana de Santiago,9190000
chery,2,2020,"20,000 km",Manual,Automotora Usado,Metropolitana de Santiago,8990000
chery,2,2017,"58,000 km",Manual,Automotora Usado,Metropolitana de Santiago,7700000
chery,2,2018,"60,000 km",Manual,Automotora Usado,Metropolitana de Santiago,8700000
chery,2,2021,"50,500 km",Manual,Automotora Usado,OHiggins,8990000
chery,2,2021,"21,300 km",Manual,Automotora Usado,OHiggins,9990000
chery,2,2019,"48,000 km",Manual,Automotora Usado,Metropolitana de Santiago,8490000
chery,2,2020,"61,203 km",Manual,Automotora Usado,Metropolitana de Santiago,8490000
chery,2,2017,"100,000 km",Manual,Automotora Usado,Bío Bío,7190000
chery,2,2021,"12,800 km",Manual,Automotora Usado,Metropolitana de Santiago,9180000
chery,2,2021,"12,000 km",Manual,Automotora Usado,Metropolitana de Santiago,9280000
chery,2,2022,"10,463 km",Manual,Automotora Usado,Metropolitana de Santiago,9980000
chery,2,2019,"53,000 km",Manual,Particular,Metropolitana de Santiago,8200000
chery,2,2021,"18,097 km",Manual,Automotora Usado,Tarapacá,8980000
chery,2,2019,"75,306 km",Manual,Automotora Usado,Valparaíso,9490000
chery,2,2018,"54,448 km",Manual,Particular,Metropolitana de Santiago,7950000
chery,2,2021,"11,000 km",Manual,Particular,Metropolitana de Santiago,10500000
chery,2,2021,"14,500 km",Manual,Particular,Valparaíso,12900000
chery,2,2017,"73,000 km",Manual,Automotora Usado,Metropolitana de Santiago,8000000
chery,2,2021,"15,000 km",Manual,Particular,Metropolitana de Santiago,9300000
chery,2,2022,"2,936 km",Automática,Particular,Metropolitana de Santiago,10500000
chery,2,2020,"42,000 km",Manual,Particular,Valparaíso,11000000
chery,2,2018,"44,000 km",Manual,Particular,Metropolitana de Santiago,7850000
chery,2,2021,"28,350 km",Manual,Particular,Atacama,10550000
chery,2,2020,"34,400 km",Manual,Particular,Valparaíso,8900000
chery,2,2021,"29,525 km",Manual,Automotora Usado,Metropolitana de Santiago,9990000
chery,2,2019,"62,000 km",Manual,Particular,Valparaíso,9690000
chery,2,2021,"47,540 km",Manual,Automotora Usado,Los Lagos,9190000
chery,2,2017,"56,000 km",Manual,Particular,Metropolitana de Santiago,7990000
chery,2,2021,"20,100 km",Automática,Particular,Metropolitana de Santiago,10290000
chery,2,2022,430 km,Manual,Particular,Metropolitana de Santiago,11690000
chery,2,2021,"40,800 km",Manual,Particular,Metropolitana de Santiago,10500000
chery,2,2019,"37,000 km",Manual,Particular,Metropolitana de Santiago,8950000
chery,2,2021,"42,000 km",Automática,Particular,Bío Bío,11490000
chery,2,2018,"68,000 km",Manual,Particular,OHiggins,9450000
chery,2,2018,"100,000 km",Manual,Particular,Metropolitana de Santiago,7500000
chery,2,2021,"15,000 km",Manual,Particular,Bío Bío,11300000
chery,2,2022,"5,800 km",Manual,Particular,Metropolitana de Santiago,9550000
chery,2,2018,"43,120 km",Manual,Particular,Bío Bío,10400000
chery,2,2019,"50,000 km",Manual,Particular,Metropolitana de Santiago,9000000
chery,2,2021,"17,000 km",Manual,Particular,Metropolitana de Santiago,9300000
chery,2,2021,"12,500 km",Manual,Particular,Bío Bío,9800000
